"datetime","Fuel Type","Volume"
2022-01-01 22:00:00,"COAL",1677.07431362576
2022-01-01 22:00:00,"DUAL FUEL",49.9008912531535
2022-01-01 22:00:00,"ENERGY STORAGE",-0.764833167394002
2022-01-01 22:00:00,"GAS",6848.13074767484
2022-01-01 22:00:00,"HYDRO",151.039924088518
2022-01-01 22:00:00,"OTHER",275.93042254236
2022-01-01 22:00:00,"SOLAR",0
2022-01-01 22:00:00,"WIND",1360.22388480787
2022-01-01 23:00:00,"COAL",1678.05625783284
2022-01-01 23:00:00,"DUAL FUEL",49.7015948232015
2022-01-01 23:00:00,"ENERGY STORAGE",-0.280666388405694
2022-01-01 23:00:00,"GAS",6812.68587711821
2022-01-01 23:00:00,"HYDRO",119.033980455382
2022-01-01 23:00:00,"OTHER",274.021161189079
2022-01-01 23:00:00,"SOLAR",0
2022-01-01 23:00:00,"WIND",1271.50121850255
2022-01-02 00:00:00,"COAL",1676.32587319268
2022-01-02 00:00:00,"DUAL FUEL",49.7208690770467
2022-01-02 00:00:00,"ENERGY STORAGE",-0.2623331006368
2022-01-02 00:00:00,"GAS",6485.98869742201
2022-01-02 00:00:00,"HYDRO",118.752967391999
2022-01-02 00:00:00,"OTHER",273.698535092672
2022-01-02 00:00:00,"SOLAR",0
2022-01-02 00:00:00,"WIND",1423.22327400453
2022-01-02 01:00:00,"COAL",1678.54431554159
2022-01-02 01:00:00,"DUAL FUEL",49.688918232388
2022-01-02 01:00:00,"ENERGY STORAGE",-0.290499641630385
2022-01-02 01:00:00,"GAS",6102.29484972252
2022-01-02 01:00:00,"HYDRO",116.053818338778
2022-01-02 01:00:00,"OTHER",272.907904135916
2022-01-02 01:00:00,"SOLAR",0
2022-01-02 01:00:00,"WIND",1446.42292323801
2022-01-02 02:00:00,"COAL",1676.43881974962
2022-01-02 02:00:00,"DUAL FUEL",49.70920530955
2022-01-02 02:00:00,"ENERGY STORAGE",-0.321943881776598
2022-01-02 02:00:00,"GAS",6109.61806469758
2022-01-02 02:00:00,"HYDRO",120.601366707683
2022-01-02 02:00:00,"OTHER",272.330251819293
2022-01-02 02:00:00,"SOLAR",0
2022-01-02 02:00:00,"WIND",1422.79032895035
2022-01-02 03:00:00,"COAL",1677.69636862861
2022-01-02 03:00:00,"DUAL FUEL",49.7306980366177
2022-01-02 03:00:00,"ENERGY STORAGE",-0.325888393190172
2022-01-02 03:00:00,"GAS",6240.82767644326
2022-01-02 03:00:00,"HYDRO",117.815625273585
2022-01-02 03:00:00,"OTHER",272.936653942532
2022-01-02 03:00:00,"SOLAR",0
2022-01-02 03:00:00,"WIND",1358.31244813704
2022-01-02 04:00:00,"COAL",1678.58187060886
2022-01-02 04:00:00,"DUAL FUEL",49.8301442951626
2022-01-02 04:00:00,"ENERGY STORAGE",-0.296943827735053
2022-01-02 04:00:00,"GAS",6219.59030150361
2022-01-02 04:00:00,"HYDRO",117.330577420476
2022-01-02 04:00:00,"OTHER",272.876131418546
2022-01-02 04:00:00,"SOLAR",0
2022-01-02 04:00:00,"WIND",1444.57296815475
2022-01-02 05:00:00,"COAL",1676.29809007433
2022-01-02 05:00:00,"DUAL FUEL",49.7176556799147
2022-01-02 05:00:00,"ENERGY STORAGE",-0.317888286378649
2022-01-02 05:00:00,"GAS",6245.73221025626
2022-01-02 05:00:00,"HYDRO",118.290366886589
2022-01-02 05:00:00,"OTHER",274.966901873483
2022-01-02 05:00:00,"SOLAR",0
2022-01-02 05:00:00,"WIND",1469.44183442939
2022-01-02 06:00:00,"COAL",1677.01181689792
2022-01-02 06:00:00,"DUAL FUEL",49.7261903275384
2022-01-02 06:00:00,"ENERGY STORAGE",-0.320832841661241
2022-01-02 06:00:00,"GAS",6420.71268592599
2022-01-02 06:00:00,"HYDRO",135.718265116364
2022-01-02 06:00:00,"OTHER",271.728155383004
2022-01-02 06:00:00,"SOLAR",0
2022-01-02 06:00:00,"WIND",1352.94913631174
2022-01-02 07:00:00,"COAL",1678.63553532918
2022-01-02 07:00:00,"DUAL FUEL",50.0312497223748
2022-01-02 07:00:00,"ENERGY STORAGE",-0.318721693886651
2022-01-02 07:00:00,"GAS",6604.06012800892
2022-01-02 07:00:00,"HYDRO",132.105975768699
2022-01-02 07:00:00,"OTHER",268.006239355405
2022-01-02 07:00:00,"SOLAR",0
2022-01-02 07:00:00,"WIND",1309.38606336196
2022-01-02 08:00:00,"COAL",1677.16764634874
2022-01-02 08:00:00,"DUAL FUEL",50.1580333434211
2022-01-02 08:00:00,"ENERGY STORAGE",-0.308666138119168
2022-01-02 08:00:00,"GAS",6743.67262253549
2022-01-02 08:00:00,"HYDRO",119.071772989962
2022-01-02 08:00:00,"OTHER",269.513823079003
2022-01-02 08:00:00,"SOLAR",0.938888858258724
2022-01-02 08:00:00,"WIND",1398.57357110182
2022-01-02 09:00:00,"COAL",1678.19076026069
2022-01-02 09:00:00,"DUAL FUEL",49.9915926191542
2022-01-02 09:00:00,"ENERGY STORAGE",-0.333999455769857
2022-01-02 09:00:00,"GAS",6634.3876862416
2022-01-02 09:00:00,"HYDRO",124.675571604106
2022-01-02 09:00:00,"OTHER",272.414341289202
2022-01-02 09:00:00,"SOLAR",41.2635548211303
2022-01-02 09:00:00,"WIND",1607.49338646054
2022-01-02 10:00:00,"COAL",1677.54136864556
2022-01-02 10:00:00,"DUAL FUEL",50.1759775055779
2022-01-02 10:00:00,"ENERGY STORAGE",-0.319221664004856
2022-01-02 10:00:00,"GAS",6502.17386573222
2022-01-02 10:00:00,"HYDRO",150.492646503184
2022-01-02 10:00:00,"OTHER",272.504701117939
2022-01-02 10:00:00,"SOLAR",111.447275454402
2022-01-02 10:00:00,"WIND",1663.82204823984
2022-01-02 11:00:00,"COAL",1677.19053522746
2022-01-02 11:00:00,"DUAL FUEL",50.1113226106432
2022-01-02 11:00:00,"ENERGY STORAGE",-0.28983275519477
2022-01-02 11:00:00,"GAS",6815.23378854831
2022-01-02 11:00:00,"HYDRO",138.995944258438
2022-01-02 11:00:00,"OTHER",269.933584019343
2022-01-02 11:00:00,"SOLAR",184.230329346657
2022-01-02 11:00:00,"WIND",1590.35351182461
2022-01-02 12:00:00,"COAL",1679.22020363702
2022-01-02 12:00:00,"DUAL FUEL",49.8888647037082
2022-01-02 12:00:00,"ENERGY STORAGE",-0.317277526855469
2022-01-02 12:00:00,"GAS",6863.90487393936
2022-01-02 12:00:00,"HYDRO",143.137843255467
2022-01-02 12:00:00,"OTHER",258.931048232185
2022-01-02 12:00:00,"SOLAR",163.164385249085
2022-01-02 12:00:00,"WIND",1500.12638323651
2022-01-02 13:00:00,"COAL",1670.62915067885
2022-01-02 13:00:00,"DUAL FUEL",49.8884421009488
2022-01-02 13:00:00,"ENERGY STORAGE",-0.268333337571886
2022-01-02 13:00:00,"GAS",6949.80300009688
2022-01-02 13:00:00,"HYDRO",158.822116864655
2022-01-02 13:00:00,"OTHER",269.106240051587
2022-01-02 13:00:00,"SOLAR",172.906885620223
2022-01-02 13:00:00,"WIND",1285.22113352584
2022-01-02 14:00:00,"COAL",1676.20914515177
2022-01-02 14:00:00,"DUAL FUEL",49.932136469947
2022-01-02 14:00:00,"ENERGY STORAGE",-0.291222116682265
2022-01-02 14:00:00,"GAS",6982.39221073182
2022-01-02 14:00:00,"HYDRO",148.624318815139
2022-01-02 14:00:00,"OTHER",268.607139825821
2022-01-02 14:00:00,"SOLAR",121.662997931838
2022-01-02 14:00:00,"WIND",1356.65038045406
2022-01-02 15:00:00,"COAL",1677.39942771064
2022-01-02 15:00:00,"DUAL FUEL",49.7961753167046
2022-01-02 15:00:00,"ENERGY STORAGE",-0.31672214296129
2022-01-02 15:00:00,"GAS",6966.97341297481
2022-01-02 15:00:00,"HYDRO",161.740012234449
2022-01-02 15:00:00,"OTHER",268.748227006064
2022-01-02 15:00:00,"SOLAR",27.9064439862304
2022-01-02 15:00:00,"WIND",1568.55775043786
2022-01-02 16:00:00,"COAL",1675.82876003689
2022-01-02 16:00:00,"DUAL FUEL",65.1763450770908
2022-01-02 16:00:00,"ENERGY STORAGE",-0.286722242567274
2022-01-02 16:00:00,"GAS",7320.72507640137
2022-01-02 16:00:00,"HYDRO",172.875452000499
2022-01-02 16:00:00,"OTHER",265.235354381402
2022-01-02 16:00:00,"SOLAR",0.356666655457682
2022-01-02 16:00:00,"WIND",1534.62641396085
2022-01-02 17:00:00,"COAL",1674.70814768473
2022-01-02 17:00:00,"DUAL FUEL",77.3720168982612
